frame,robot_hand_x,robot_hand_y,robot_hand_z,human_hand_x,human_hand_y,human_hand_z,object_x,object_y,object_z
150,0.60999995470047,-0.3819639980792999,1.815563440322876,0.0,0.0,0.0,0.5264392495155334,0.2258273810148239,0.9660026431083679
160,0.60999995470047,-0.3828524649143219,1.8169022798538208,0.0,0.0,0.0,0.5263729095458984,0.2258215993642807,0.9659581184387207
170,0.6099989414215088,-0.37980303168296814,1.820820927619934,0.0,0.0,0.0,0.5263393521308899,0.2258250117301941,0.9659302830696106
180,0.6099952459335327,-0.37670522928237915,1.8244121074676514,0.0,0.0,0.0,0.5263360738754272,0.22583411633968353,0.9659208655357361
190,0.6099864840507507,-0.37410807609558105,1.8272908926010132,0.0,0.0,0.0,0.5263465046882629,0.22584329545497894,0.9659281373023987
200,0.6099767684936523,-0.3723800778388977,1.8291139602661133,0.0,0.0,0.0,0.526352047920227,0.22584658861160278,0.9659498333930969
210,0.6099650859832764,-0.37089022994041443,1.8305277824401855,0.0,0.0,0.0,0.5263370275497437,0.2258392572402954,0.96598219871521
220,0.6099499464035034,-0.369350790977478,1.8318852186203003,0.0,0.0,0.0,0.526307225227356,0.2258249968290329,0.9660117626190186
230,0.6099354028701782,-0.3680437505245209,1.8329263925552368,0.0,0.0,0.0,0.5262830853462219,0.22581325471401215,0.9660184383392334
240,0.60992830991745,-0.367068886756897,1.8335539102554321,0.0,0.0,0.0,0.5262872576713562,0.2258143424987793,0.9659809470176697
250,0.6099224090576172,-0.36621078848838806,1.8340229988098145,0.0,0.0,0.0,0.5263376235961914,0.225835919380188,0.9658836126327515
260,0.609916627407074,-0.3654514253139496,1.8343698978424072,0.0,0.0,0.0,0.5264164805412292,0.2258666604757309,0.9657479524612427
270,0.6099103093147278,-0.364777535200119,1.8346213102340698,0.0,0.0,0.0,0.526482105255127,0.22588224709033966,0.9656214118003845
280,0.6099032163619995,-0.36417824029922485,1.8347983360290527,0.0,0.0,0.0,0.5264891982078552,0.2258564978837967,0.9655551314353943
290,0.6098952889442444,-0.3636443614959717,1.834917664527893,0.0,0.0,0.0,0.5263999700546265,0.22576788067817688,0.965593159198761
300,0.6098862886428833,-0.36316806077957153,1.834992527961731,0.0,0.0,0.0,0.5262303948402405,0.22562864422798157,0.9657289981842041
310,0.6098763346672058,-0.36274248361587524,1.8350335359573364,0.0,0.0,0.0,0.5260338187217712,0.22547417879104614,0.9659214019775391
320,0.609865665435791,-0.3623618185520172,1.8350489139556885,0.0,0.0,0.0,0.5258686542510986,0.22534318268299103,0.9661240577697754
330,0.6098544001579285,-0.36202093958854675,1.8350450992584229,0.0,0.0,0.0,0.5257867574691772,0.22526979446411133,0.9662940502166748
340,0.6098427176475525,-0.36171531677246094,1.8350274562835693,0.0,0.0,0.0,0.525789737701416,0.22525358200073242,0.966414749622345
350,0.6098307967185974,-0.36144107580184937,1.834999918937683,0.0,0.0,0.0,0.5258448123931885,0.22527049481868744,0.9664878845214844
360,0.6098188161849976,-0.36119475960731506,1.834965705871582,0.0,0.0,0.0,0.525914192199707,0.22529304027557373,0.9665177464485168
370,0.609807014465332,-0.3609732687473297,1.8349273204803467,0.0,0.0,0.0,0.5259634256362915,0.22529712319374084,0.9665096402168274
380,0.6097953915596008,-0.3607740104198456,1.8348865509033203,0.0,0.0,0.0,0.5259846448898315,0.22528471052646637,0.9664732813835144
390,0.6097842454910278,-0.3605945408344269,1.834844946861267,0.0,0.0,0.0,0.5259882807731628,0.22527559101581573,0.9664215445518494
400,0.6097735166549683,-0.36043283343315125,1.8348033428192139,0.0,0.0,0.0,0.525987446308136,0.22529219090938568,0.9663676619529724
410,0.6097633838653564,-0.3602869510650635,1.834762692451477,0.0,0.0,0.0,0.5259947776794434,0.225352481007576,0.9663233757019043
420,0.6097537875175476,-0.360155314207077,1.8347235918045044,0.0,0.0,0.0,0.5260182023048401,0.2254420965909958,0.9662895798683167
430,0.6097448468208313,-0.3600364327430725,1.8346863985061646,0.0,0.0,0.0,0.5260624289512634,0.22552445530891418,0.9662597179412842
440,0.6097365617752075,-0.35992899537086487,1.834651231765747,0.0,0.0,0.0,0.5261315703392029,0.2255597710609436,0.9662259817123413
450,0.6097289323806763,-0.3598318099975586,1.8346184492111206,0.0,0.0,0.0,0.5262285470962524,0.2255147248506546,0.9661816358566284
460,0.6097218990325928,-0.3597438931465149,1.8345879316329956,0.0,0.0,0.0,0.5263484716415405,0.22540317475795746,0.9661260843276978
470,0.6097155213356018,-0.35966429114341736,1.834559679031372,0.0,0.0,0.0,0.5264806151390076,0.2252712994813919,0.9660632610321045
480,0.609709620475769,-0.35959216952323914,1.8345338106155396,0.0,0.0,0.0,0.5266137719154358,0.22516998648643494,0.965997576713562
490,0.609704315662384,-0.3595268130302429,1.834510087966919,0.0,0.0,0.0,0.5267358422279358,0.22514334321022034,0.9659339189529419
500,0.609699547290802,-0.3594675362110138,1.8344885110855103,0.0,0.0,0.0,0.5268310904502869,0.2251855880022049,0.9658785462379456
510,0.6096952557563782,-0.359413743019104,1.834468960762024,0.0,0.0,0.0,0.5268810391426086,0.22525665163993835,0.9658387303352356
520,0.6096913814544678,-0.35936489701271057,1.8344513177871704,0.0,0.0,0.0,0.5268667936325073,0.2253115177154541,0.9658218622207642
530,0.609687864780426,-0.3593205511569977,1.8344354629516602,0.0,0.0,0.0,0.526775062084198,0.22531145811080933,0.9658340811729431
540,0.6096847653388977,-0.35928022861480713,1.834421157836914,0.0,0.0,0.0,0.5266312956809998,0.22526511549949646,0.9658718109130859
550,0.609682023525238,-0.35924357175827026,1.8344084024429321,0.0,0.0,0.0,0.526487410068512,0.22521358728408813,0.9659247398376465
560,0.6096795201301575,-0.35921022295951843,1.8343970775604248,0.0,0.0,0.0,0.5263990163803101,0.22520263493061066,0.9659817218780518
570,0.6096773743629456,-0.35917985439300537,1.834386944770813,0.0,0.0,0.0,0.5264137387275696,0.22527101635932922,0.9660328030586243
580,0.609675407409668,-0.3591521978378296,1.8343781232833862,0.0,0.0,0.0,0.5265194773674011,0.22540514171123505,0.9660775065422058
590,0.6096737384796143,-0.3591269850730896,1.8343702554702759,0.0,0.0,0.0,0.5266635417938232,0.22555559873580933,0.9661213755607605
600,0.6096722483634949,-0.3591040074825287,1.834363341331482,0.0,0.0,0.0,0.5267871022224426,0.22566774487495422,0.9661713242530823
610,0.6096709370613098,-0.35908305644989014,1.8343573808670044,0.0,0.0,0.0,0.5268383622169495,0.2256939560174942,0.9662321209907532
620,0.6096698045730591,-0.35906392335891724,1.8343522548675537,0.0,0.0,0.0,0.5268175005912781,0.22563861310482025,0.9662951827049255
630,0.6096687912940979,-0.35904645919799805,1.8343477249145508,0.0,0.0,0.0,0.5267602205276489,0.22554181516170502,0.9663429260253906
640,0.609667956829071,-0.35903048515319824,1.8343439102172852,0.0,0.0,0.0,0.5267075300216675,0.2254488319158554,0.9663562774658203
650,0.609667181968689,-0.35901588201522827,1.8343405723571777,0.0,0.0,0.0,0.5266963243484497,0.2253997027873993,0.9663203358650208
660,0.6096665263175964,-0.3590025305747986,1.834337830543518,0.0,0.0,0.0,0.5267321467399597,0.22539447247982025,0.9662498831748962
670,0.6096659898757935,-0.35899031162261963,1.8343355655670166,0.0,0.0,0.0,0.5267989635467529,0.2254057377576828,0.9661799073219299
680,0.60966557264328,-0.35897913575172424,1.8343337774276733,0.49633118510246277,0.3716312050819397,1.0656089782714844,0.5268775224685669,0.22540216147899628,0.9661485552787781
690,0.6096651554107666,-0.3589688837528229,1.8343322277069092,0.4950007200241089,0.364512175321579,1.0654362440109253,0.5269497036933899,0.22535677254199982,0.9661874771118164
700,0.6096648573875427,-0.35895946621894836,1.8343310356140137,0.4937804937362671,0.35659024119377136,1.0657845735549927,0.5270061492919922,0.2252759486436844,0.9662832021713257
710,0.6096645593643188,-0.35895082354545593,1.8343302011489868,0.49267423152923584,0.34813934564590454,1.0664581060409546,0.5270439982414246,0.2251889705657959,0.9663912057876587
720,0.6096643805503845,-0.3589428961277008,1.834329605102539,0.4916856288909912,0.3394334614276886,1.0672607421875,0.5270611047744751,0.2251283973455429,0.9664623737335205
730,0.6096642017364502,-0.3589356243610382,1.8343291282653809,0.49081841111183167,0.33074653148651123,1.067996859550476,0.5270566344261169,0.2251226007938385,0.9664540886878967
740,0.6096640825271606,-0.358928918838501,1.8343290090560913,0.49007633328437805,0.3223525583744049,1.0684702396392822,0.5270379185676575,0.2251684069633484,0.966370701789856
750,0.6096639633178711,-0.35892271995544434,1.8343290090560913,0.48946303129196167,0.3145254850387573,1.0684852600097656,0.5270180106163025,0.225241020321846,0.9662490487098694
760,0.6096639037132263,-0.3589169979095459,1.8343291282653809,0.48898229002952576,0.3075392544269562,1.0678458213806152,0.5270106792449951,0.2253125160932541,0.9661304950714111
770,0.6096638441085815,-0.3589117228984833,1.8343294858932495,0.4886162281036377,0.30154547095298767,1.0664395093917847,0.5270282030105591,0.22535750269889832,0.9660522937774658
780,0.6096638441085815,-0.3589068651199341,1.8343298435211182,0.4882608652114868,0.29620617628097534,1.064488172531128,0.5270721316337585,0.22537066042423248,0.9660195112228394
790,0.6096638441085815,-0.35890236496925354,1.834330439567566,0.48779061436653137,0.29106101393699646,1.0622968673706055,0.5271368026733398,0.22536040842533112,0.9660149216651917
800,0.6096638441085815,-0.35889819264411926,1.8343310356140137,0.4870798885822296,0.2856496274471283,1.0601710081100464,0.527215301990509,0.22533714771270752,0.9660181999206543
810,0.6096639037132263,-0.35889431834220886,1.834331750869751,0.4860724210739136,0.27968573570251465,1.0583209991455078,0.5273001194000244,0.22531037032604218,0.9660117030143738
820,0.6096639633178711,-0.35889074206352234,1.8343324661254883,0.4849890172481537,0.2735791802406311,1.056578516960144,0.5273800492286682,0.22528162598609924,0.9659993648529053
830,0.6096640229225159,-0.3588874340057373,1.8343333005905151,0.48411980271339417,0.26791390776634216,1.0546804666519165,0.5274414420127869,0.22524702548980713,0.9659996032714844
840,0.6096640825271606,-0.358884334564209,1.834334135055542,0.48375484347343445,0.26327380537986755,1.0523637533187866,0.5274702310562134,0.22520188987255096,0.9660330414772034
850,0.6096641421318054,-0.35888147354125977,1.8343349695205688,0.48409008979797363,0.2600548565387726,1.0494344234466553,0.5274542570114136,0.22514250874519348,0.9661166071891785
860,0.6096642017364502,-0.35887882113456726,1.8343359231948853,0.4849447011947632,0.25790131092071533,1.045975685119629,0.5273956060409546,0.22507230937480927,0.9662395119667053
870,0.6096643209457397,-0.3588763475418091,1.834336757659912,0.48604363203048706,0.2562693953514099,1.0421392917633057,0.5273059606552124,0.22499966621398926,0.9663720726966858
880,0.6096643805503845,-0.35887402296066284,1.8343377113342285,0.4871119260787964,0.2546153962612152,1.038077712059021,0.5271984934806824,0.2249336540699005,0.9664819240570068
890,0.6096644997596741,-0.3588718771934509,1.834338665008545,0.4879319369792938,0.25253498554229736,1.0339655876159668,0.5270857810974121,0.22488082945346832,0.9665420055389404
900,0.6096646189689636,-0.35886985063552856,1.8343396186828613,0.4885158836841583,0.2501813471317291,1.0300685167312622,0.5269759297370911,0.2248300015926361,0.9665653705596924
910,0.6096646785736084,-0.35886797308921814,1.8343405723571777,0.4889332950115204,0.24784709513187408,1.026674747467041,0.5268739461898804,0.22475779056549072,0.9665924310684204
920,0.609664797782898,-0.35886621475219727,1.8343415260314941,0.48925381898880005,0.24582479894161224,1.0240726470947266,0.5267844796180725,0.22463899850845337,0.9666675925254822
930,0.6096648573875427,-0.35886454582214355,1.8343424797058105,0.48953932523727417,0.24432647228240967,1.0224305391311646,0.5267078876495361,0.22445204854011536,0.9668238759040833
940,0.6096649765968323,-0.3588630259037018,1.834343433380127,0.4898209273815155,0.2432417869567871,1.021437406539917,0.5266172885894775,0.22420085966587067,0.967013418674469
950,0.6096650958061218,-0.3588615655899048,1.8343442678451538,0.49012210965156555,0.2423797994852066,1.0206620693206787,0.5264666676521301,0.2239069789648056,0.9671330451965332
960,0.6096651554107666,-0.35886019468307495,1.8343452215194702,0.49046626687049866,0.24154958128929138,1.0196739435195923,0.5262072682380676,0.22359447181224823,0.9670714139938354
970,0.6096652746200562,-0.35885894298553467,1.834346055984497,0.49086257815361023,0.24060121178627014,1.0181818008422852,0.5258111357688904,0.22328025102615356,0.9667462706565857
980,0.6096653342247009,-0.3588577210903168,1.8343470096588135,0.49126309156417847,0.23954875767230988,1.0164546966552734,0.525394082069397,0.22292980551719666,0.9662819504737854
990,0.6096654534339905,-0.35885658860206604,1.8343478441238403,0.49160563945770264,0.23844726383686066,1.014901876449585,0.5251709222793579,0.22247342765331268,0.9659444689750671
1000,0.6096655130386353,-0.35885554552078247,1.8343486785888672,0.4918280243873596,0.23735180497169495,1.013932228088379,0.5253705382347107,0.22183626890182495,0.9660203456878662
1010,0.6096656322479248,-0.3588545322418213,1.8343493938446045,0.49188438057899475,0.23630283772945404,1.0138243436813354,0.5261844992637634,0.2209545522928238,0.966754138469696
1020,0.6096656918525696,-0.3588535785675049,1.8343502283096313,0.4917944371700287,0.2352825254201889,1.014333963394165,0.5275344252586365,0.2198444902896881,0.9680852890014648
1030,0.6096658110618591,-0.35885268449783325,1.8343510627746582,0.49159425497055054,0.23425839841365814,1.0150866508483887,0.5291571021080017,0.21857723593711853,0.9697442054748535
1040,0.6096658706665039,-0.3588518500328064,1.8343517780303955,0.4913198947906494,0.23319803178310394,1.0157076120376587,0.5307624340057373,0.2172318547964096,0.9714306592941284
1050,0.6096659898757935,-0.35885104537010193,1.8343524932861328,0.4910074472427368,0.23208607733249664,1.0159213542938232,0.5320912599563599,0.21587949991226196,0.9728895425796509
1060,0.6096660494804382,-0.35885027050971985,1.8343532085418701,0.490693062543869,0.2309756577014923,1.0158482789993286,0.5331175327301025,0.2145308256149292,0.9741963744163513
1070,0.609666109085083,-0.35884955525398254,1.8343539237976074,0.49041298031806946,0.22993700206279755,1.0157078504562378,0.5339750647544861,0.21315494179725647,0.975653886795044
1080,0.6096661686897278,-0.35884889960289,1.8343546390533447,0.490203320980072,0.22904032468795776,1.0157196521759033,0.534821093082428,0.21171492338180542,0.9775975942611694
1090,0.6096662878990173,-0.3588482439517975,1.8343552350997925,0.4900873005390167,0.2283334583044052,1.016028642654419,0.5358073711395264,0.21016870439052582,0.9803206324577332
1100,0.6096663475036621,-0.35884764790534973,1.8343558311462402,0.4900360107421875,0.22777462005615234,1.016482949256897,0.537033200263977,0.2084427922964096,0.9837984442710876
1110,0.6096664071083069,-0.358847051858902,1.834356427192688,0.4900074899196625,0.22729963064193726,1.0168561935424805,0.5385612845420837,0.206442192196846,0.9877886176109314
1120,0.6096664667129517,-0.358846515417099,1.8343570232391357,0.48995986580848694,0.22684432566165924,1.0169219970703125,0.5404493808746338,0.2040688395500183,0.9920172691345215
1130,0.6096665263175964,-0.358845978975296,1.8343576192855835,0.48986512422561646,0.2263537347316742,1.0165421962738037,0.5427277684211731,0.2012568563222885,0.9962338209152222
1140,0.6096665859222412,-0.3588455021381378,1.8343582153320312,0.4897511899471283,0.2258097529411316,1.0159310102462769,0.5452439188957214,0.19816453754901886,1.0003737211227417
1150,0.609666645526886,-0.358844131231308,1.8343585729599,0.4896598756313324,0.2252034693956375,1.0153911113739014,0.5477195978164673,0.19510400295257568,1.0044995546340942
1160,0.6096667051315308,-0.35884273052215576,1.8343589305877686,0.4896329939365387,0.22452597320079803,1.015224814414978,0.5498585104942322,0.19240963459014893,1.0086928606033325
1170,0.6096667647361755,-0.3588414192199707,1.8343592882156372,0.48974788188934326,0.22375813126564026,1.0156536102294922,0.5513966679573059,0.19036154448986053,1.013035774230957
1180,0.6096668243408203,-0.3588402271270752,1.8343596458435059,0.49022364616394043,0.22283978760242462,1.0165746212005615,0.5523075461387634,0.1888493001461029,1.0176044702529907
1190,0.6096668839454651,-0.35883912444114685,1.8343600034713745,0.4913148880004883,0.2217005491256714,1.01780366897583,0.5527274012565613,0.18749454617500305,1.0224707126617432
1200,0.6096668839454651,-0.35883811116218567,1.8343603610992432,0.4932762384414673,0.2202700525522232,1.0191566944122314,0.5528161525726318,0.18588007986545563,1.0277056694030762
1210,0.6096669435501099,-0.35883718729019165,1.8343605995178223,0.4962184727191925,0.21850380301475525,1.0205267667770386,0.5527318120002747,0.1836467832326889,1.0333595275878906
1220,0.6096670031547546,-0.3588363230228424,1.834360957145691,0.49967724084854126,0.2164609283208847,1.0221138000488281,0.5526025295257568,0.18086440861225128,1.0393383502960205
1230,0.6096670627593994,-0.35883551836013794,1.8343613147735596,0.5030443668365479,0.21422651410102844,1.0241950750350952,0.5525358319282532,0.17789702117443085,1.0454496145248413
1240,0.6096670627593994,-0.35883477330207825,1.8343615531921387,0.5057116746902466,0.21188558638095856,1.0270475149154663,0.5526362061500549,0.17515139281749725,1.0514863729476929
1250,0.6096671223640442,-0.3588341176509857,1.8343619108200073,0.5072981715202332,0.2095337212085724,1.0308204889297485,0.5529906153678894,0.17297711968421936,1.0572649240493774
1260,0.609667181968689,-0.3588334619998932,1.834362268447876,0.5083314776420593,0.20730851590633392,1.0351521968841553,0.5535662770271301,0.1712985634803772,1.0627720355987549
1270,0.609667181968689,-0.3588328957557678,1.834362506866455,0.5095664262771606,0.2053581178188324,1.0395532846450806,0.5542486310005188,0.16974827647209167,1.0681114196777344
1280,0.6096672415733337,-0.35883232951164246,1.8343627452850342,0.5117577314376831,0.20383062958717346,1.043534278869629,0.5549112558364868,0.16791652143001556,1.07340407371521
1290,0.6096673011779785,-0.35883182287216187,1.8343631029129028,0.5154072642326355,0.20279943943023682,1.0467638969421387,0.5554413199424744,0.16544918715953827,1.0787633657455444
1300,0.6096673011779785,-0.35883137583732605,1.834363341331482,0.5200052261352539,0.2020389288663864,1.0495444536209106,0.555828869342804,0.16240718960762024,1.0842397212982178
1310,0.6096673607826233,-0.35883092880249023,1.834363579750061,0.5247887372970581,0.20124869048595428,1.0523364543914795,0.5561344623565674,0.15913619101047516,1.0898404121398926
1320,0.6096673607826233,-0.3588305115699768,1.8343638181686401,0.528995156288147,0.20012839138507843,1.0556005239486694,0.5564290285110474,0.15602314472198486,1.095565915107727
1330,0.6096674203872681,-0.35883012413978577,1.8343640565872192,0.5320520997047424,0.19846633076667786,1.0596699714660645,0.5567825436592102,0.15341469645500183,1.1014161109924316
1340,0.6096674203872681,-0.3588297665119171,1.8343642950057983,0.534149169921875,0.19640561938285828,1.0643694400787354,0.557252049446106,0.15134897828102112,1.1073846817016602
1350,0.6096674799919128,-0.35882943868637085,1.8343645334243774,0.5356665253639221,0.19417808949947357,1.0693962574005127,0.5578854084014893,0.1496524065732956,1.1134626865386963
1360,0.6096674799919128,-0.358829140663147,1.8343647718429565,0.5369841456413269,0.19201554358005524,1.074447751045227,0.5587291121482849,0.1481207013130188,1.1196398735046387
1370,0.6096675395965576,-0.3588288426399231,1.8343650102615356,0.538406491279602,0.19009816646575928,1.0792869329452515,0.5598075985908508,0.1465657353401184,1.1259033679962158
1380,0.6096675395965576,-0.3588285744190216,1.8343652486801147,0.539935290813446,0.1883995532989502,1.0839378833770752,0.5609918832778931,0.14493340253829956,1.1322197914123535
1390,0.6096675992012024,-0.3588283061981201,1.8343654870986938,0.5414963960647583,0.1868416965007782,1.0884902477264404,0.5620482563972473,0.14326171576976776,1.138541579246521
